job_id,model_alias,n_agents,rounds,task,num_param,num_value,random_seed,personas_tuple
18,vllm-deepseek,7,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a hyper-capitalist financier who evaluates every move solely on ROI (Return on Investment) and marginal profit', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a drone swarm commander who views the task as parallel processing over numerous, interchangeable units', 'a professional wrestler whose analysis focuses on dramatic confrontation, stage presence, and audience reaction')"
19,vllm-qwen3-1.7b,2,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a professional wrestler whose analysis focuses on dramatic confrontation, stage presence, and audience reaction')"
20,vllm-qwen3-1.7b,3,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a professional wrestler whose analysis focuses on dramatic confrontation, stage presence, and audience reaction')"
21,vllm-qwen3-1.7b,4,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a professional wrestler whose analysis focuses on dramatic confrontation, stage presence, and audience reaction')"
22,vllm-qwen3-1.7b,5,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a professional wrestler whose analysis focuses on dramatic confrontation, stage presence, and audience reaction')"
23,vllm-qwen3-1.7b,6,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a professional wrestler whose analysis focuses on dramatic confrontation, stage presence, and audience reaction')"
24,vllm-qwen3-1.7b,7,2,biography,num_people,40,1,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a professional wrestler whose analysis focuses on dramatic confrontation, stage presence, and audience reaction')"
25,vllm-llama32-3b,2,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth')"
26,vllm-llama32-3b,3,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
27,vllm-llama32-3b,4,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
28,vllm-llama32-3b,5,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
29,vllm-llama32-3b,6,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
30,vllm-llama32-3b,7,2,biography,num_people,40,1,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
31,vllm-smallthinker,2,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
32,vllm-smallthinker,3,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
33,vllm-smallthinker,4,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified')"
34,vllm-smallthinker,5,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified')"
35,vllm-smallthinker,6,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
36,vllm-smallthinker,7,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
37,vllm-qwen3-4b,2,2,biography,num_people,40,1,"('an early 20th-century urban planner focused on maximizing geometric efficiency and transit flow', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements')"
38,vllm-qwen3-4b,3,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
39,vllm-qwen3-4b,4,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
40,vllm-qwen3-4b,5,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
41,vllm-qwen3-4b,6,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
42,vllm-qwen3-4b,7,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
43,vllm-llama31-8b,2,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
44,vllm-llama31-8b,3,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
45,vllm-llama31-8b,4,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a 1950s Madison Avenue ad man who views the solution as a campaign to be emotionally sold and packaged', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
46,vllm-llama31-8b,5,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
47,vllm-llama31-8b,6,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
48,vllm-llama31-8b,7,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
49,vllm-qwen3-8b,2,2,biography,num_people,40,1,"('a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"")"
50,vllm-qwen3-8b,3,2,biography,num_people,40,1,"('a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"", 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
51,vllm-qwen3-8b,4,2,biography,num_people,40,1,"('a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"", 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
52,vllm-qwen3-8b,5,2,biography,num_people,40,1,"('a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"", 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
53,vllm-qwen3-8b,6,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"", 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
54,vllm-qwen3-8b,7,2,biography,num_people,40,1,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"", 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
55,vllm-qwen3-14b,2,2,biography,num_people,40,1,"('an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements')"
56,vllm-qwen3-14b,3,2,biography,num_people,40,1,"('an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
57,vllm-qwen3-14b,4,2,biography,num_people,40,1,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states')"
58,vllm-qwen3-14b,5,2,biography,num_people,40,1,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states')"
59,vllm-qwen3-14b,6,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states')"
60,vllm-qwen3-14b,7,2,biography,num_people,40,1,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', ""a mythological hero's sidekick who is overly cautious, risk-averse, and constantly points out dangers"")"
