job_id,model_alias,n_agents,rounds,task,num_param,num_value,random_seed,personas_tuple
11,vllm-vibethinker,6,3,math,num_problems,100,0,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
12,vllm-vibethinker,7,3,math,num_problems,100,0,"('a radical anarchist who views all imposed structures and hierarchies as fundamentally flawed', 'an enigma machine operator whose primary filter is signal-to-noise ratio and encrypted hidden messages', 'a forensic pathologist who works backward from the failure state to determine the precise cause of death', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
13,vllm-gemma2-2b,2,3,math,num_problems,100,0,"('a Victorian etiquette consultant obsessed with proper formatting, deference, and rigid social boundaries', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements')"
14,vllm-gemma2-2b,3,3,math,num_problems,100,0,"('a Victorian etiquette consultant obsessed with proper formatting, deference, and rigid social boundaries', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states')"
15,vllm-gemma2-2b,4,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Victorian etiquette consultant obsessed with proper formatting, deference, and rigid social boundaries', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states')"
16,vllm-gemma2-2b,5,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Victorian etiquette consultant obsessed with proper formatting, deference, and rigid social boundaries', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
17,vllm-gemma2-2b,6,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Victorian etiquette consultant obsessed with proper formatting, deference, and rigid social boundaries', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
18,vllm-gemma2-2b,7,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Victorian etiquette consultant obsessed with proper formatting, deference, and rigid social boundaries', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
19,vllm-smallthinker,2,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
20,vllm-smallthinker,3,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
21,vllm-smallthinker,4,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified')"
22,vllm-smallthinker,5,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified')"
23,vllm-smallthinker,6,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
24,vllm-smallthinker,7,3,math,num_problems,100,0,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
25,vllm-phi3-mini,2,3,math,num_problems,100,0,"('a pre-Socratic materialist who reduces all problems to their basic physical components and forces', 'a dread pirate captain whose strategy is based on risk assessment, immediate plunder, and intimidation')"
26,vllm-phi3-mini,3,3,math,num_problems,100,0,"('a pre-Socratic materialist who reduces all problems to their basic physical components and forces', 'a dread pirate captain whose strategy is based on risk assessment, immediate plunder, and intimidation', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value')"
27,vllm-phi3-mini,4,3,math,num_problems,100,0,"('a pre-Socratic materialist who reduces all problems to their basic physical components and forces', 'a dread pirate captain whose strategy is based on risk assessment, immediate plunder, and intimidation', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
28,vllm-phi3-mini,5,3,math,num_problems,100,0,"('a pre-Socratic materialist who reduces all problems to their basic physical components and forces', 'a dread pirate captain whose strategy is based on risk assessment, immediate plunder, and intimidation', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
29,vllm-phi3-mini,6,3,math,num_problems,100,0,"('a pre-Socratic materialist who reduces all problems to their basic physical components and forces', 'a dread pirate captain whose strategy is based on risk assessment, immediate plunder, and intimidation', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
30,vllm-phi3-mini,7,3,math,num_problems,100,0,"('a pre-Socratic materialist who reduces all problems to their basic physical components and forces', 'a dread pirate captain whose strategy is based on risk assessment, immediate plunder, and intimidation', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a stand-up comedian who evaluates suggestions based on their absurdity, timing, and satirical value', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
31,vllm-qwen3-4b,2,3,math,num_problems,100,0,"('an early 20th-century urban planner focused on maximizing geometric efficiency and transit flow', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements')"
32,vllm-qwen3-4b,3,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
33,vllm-qwen3-4b,4,3,math,num_problems,100,0,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
34,vllm-qwen3-4b,5,3,math,num_problems,100,0,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
35,vllm-qwen3-4b,6,3,math,num_problems,100,0,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
36,vllm-qwen3-4b,7,3,math,num_problems,100,0,"('a Roman imperial jurist who strictly adheres to precedent and codified legal language', 'a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
37,vllm-mistral-7b,2,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
38,vllm-mistral-7b,3,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
39,vllm-mistral-7b,4,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
40,vllm-mistral-7b,5,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
41,vllm-mistral-7b,6,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
42,vllm-mistral-7b,7,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Gothic novelist who focuses on dramatic irony, foreshadowing, and latent horror', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a systems engineer who focuses strictly on modularity, inter-component dependencies, and error states', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
43,vllm-llama31-8b,2,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
44,vllm-llama31-8b,3,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
45,vllm-llama31-8b,4,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a 1950s Madison Avenue ad man who views the solution as a campaign to be emotionally sold and packaged', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change')"
46,vllm-llama31-8b,5,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
47,vllm-llama31-8b,6,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
48,vllm-llama31-8b,7,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a Zen master who communicates only through non-sequiturs, koans, and minimal, cryptic statements', 'a deep-sea volcanologist focused on extremes of pressure, heat, and slow geologic change', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'a resource auditor who views every input as a budget line item that must be strictly justified', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
49,vllm-gemma2-9b,2,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth')"
50,vllm-gemma2-9b,3,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay')"
51,vllm-gemma2-9b,4,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
52,vllm-gemma2-9b,5,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
53,vllm-gemma2-9b,6,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation')"
54,vllm-gemma2-9b,7,3,math,num_problems,100,0,"('a Kantian deontologist who judges all actions strictly by their moral imperative and universal rule application', 'a Soviet-era bureaucrat who prioritizes documentation, adherence to arbitrary quotas, and triplicate forms', 'a pre-lingual infant whose understanding is limited to basic sensations, needs, and spatial presence', 'a cosmic horror narrator who frames the problem as an ancient, unknowable, and terrifying truth', 'an expert chess grandmaster who analyzes all moves based on look-ahead, board state, and counterplay', 'a Renaissance painter who values perspective, light, shadow, and visual harmony in the final presentation', 'a hermetic alchemist who seeks to transmute the problem into a perfect, pure, and philosophical gold standard')"
