task,model_name,num_agents,num_rounds,num_personas,personas_str,avg_accuracy,std_accuracy,num_problems,filename,n_agents,maxmin_score,maxdet_volume
math,VibeThinker-1.5B-mlx-8Bit,3,3,3,stand-up+drone+hermetic,1.0,0.0,20.0,math_VibeThinker-1.5B_persona_stand-up+drone+hermetic_agents3_rounds3.p,,,
gsm,Qwen3-0.6B-MLX-8bit,3,3,3,kantian+deep-sea+renaissance,0.85,0.3570714214271425,20.0,gsm_Qwen3-0.6B_persona_kantian+deep-sea+renaissance_agents3_rounds3.json,,,
gsm,Qwen3-0.6B-MLX-8bit,5,3,5,quantum+kantian+deep-sea+resource+renaissance,0.85,0.3570714214271425,20.0,gsm_Qwen3-0.6B_persona_quantum+kantian+deep-sea+resource+renaissance_agents5_rounds3.json,,,
gsm,Qwen3-0.6B-MLX-8bit,7,3,7,quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance,0.9,0.30000000000000004,20.0,gsm_Qwen3-0.6B_persona_quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance_agents7_rounds3.json,,,
gsm,Qwen3-14B-MLX-8bit,3,3,3,enigma+zen+deep-sea,1.0,0.0,2.0,gsm_Qwen3-14B_persona_enigma+zen+deep-sea_agents3_rounds3.json,,,
biography,Llama-3.2-3B-Instruct-8bit,3,3,3,kantian+cosmic+renaissance,,,,biography_Llama-3.2-3B_persona_kantian+cosmic+renaissance_agents3_rounds3.json,,,
biography,Llama-3.2-3B-Instruct-8bit,7,3,7,radical+kantian+soviet-era+zen+deep-sea+cosmic+renaissance,,,,biography_Llama-3.2-3B_persona_radical+kantian+soviet-era+zen+deep-sea+cosmic+renaissance_agents7_rounds3.json,,,
biography,Qwen3-0.6B-MLX-8bit,3,3,3,kantian+deep-sea+renaissance,,,,biography_Qwen3-0.6B_persona_kantian+deep-sea+renaissance_agents3_rounds3.json,,,
biography,Qwen3-0.6B-MLX-8bit,5,3,5,quantum+kantian+deep-sea+resource+renaissance,,,,biography_Qwen3-0.6B_persona_quantum+kantian+deep-sea+resource+renaissance_agents5_rounds3.json,,,
biography,Qwen3-0.6B-MLX-8bit,7,3,7,quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance,,,,biography_Qwen3-0.6B_persona_quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance_agents7_rounds3.json,,,
biography,Qwen3-14B-MLX-8bit,3,3,3,enigma+zen+deep-sea,,,,biography_Qwen3-14B_persona_enigma+zen+deep-sea_agents3_rounds3.json,,,
mmlu,Mistral-7B-Instruct-v0.3,3,3,3,kantian+deep-sea+expert,0.5263157894736842,0.49930699897395464,19.0,mmlu_Mistral-7B-Instruct-v0.3_persona_kantian+deep-sea+expert_agents3_rounds3.json,3.0,0.481483246018635,0.5275208866006768
mmlu,Mistral-7B-Instruct-v0.3,5,3,5,kantian+gothic+deep-sea+resource+expert,0.5263157894736842,0.49930699897395464,19.0,mmlu_Mistral-7B-Instruct-v0.3_persona_kantian+gothic+deep-sea+resource+expert_agents5_rounds3.json,5.0,0.4269970803122342,0.1580176072574367
mmlu,Mistral-7B-Instruct-v0.3,7,3,7,kantian+gothic+zen+deep-sea+systems+expert+hermetic,0.5263157894736842,0.49930699897395464,19.0,mmlu_Mistral-7B-Instruct-v0.3_persona_kantian+gothic+zen+deep-sea+systems+expert+hermetic_agents7_rounds3.json,7.0,0.4081363638330123,0.0347527776768735
mmlu,Qwen3-0.6B-MLX-8bit,7,3,7,quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance,0.6,0.48989794855663565,20.0,mmlu_Qwen3-0.6B_persona_quantum+kantian+hyper-capita+pre-lingual+zen+deep-sea+renaissance_agents7_rounds3.json,,,
mmlu,Qwen3-14B-MLX-8bit,3,3,3,enigma+zen+deep-sea,1.0,0.0,2.0,mmlu_Qwen3-14B_persona_enigma+zen+deep-sea_agents3_rounds3.json,,,
